csv_short,model,n_features,Train_R2,KFold_R2,LOO_R2,LOO_MAE,LOO_RMSE,best_params
#0_w10_radius_mean,SVR,3,0.6929938150025108,0.5232237375176092,0.5794514645853985,0.4251645910873127,0.6202276148004521,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
#5_w10_radius_mean_radius_diff,RandomForest,4,0.9321987853523538,0.4906112771155131,0.5613696345826421,0.4626640404040403,0.6334208913797867,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
#0_w10_radius_mean,RandomForest,3,0.9384818557144998,0.5529917641267416,0.5524936257325581,0.45697797979797977,0.6397976626633574,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
#4_w10_radius_mean_max_mass,RandomForest,4,0.9354010813692517,0.5261917133796596,0.5453943423346064,0.45955373737373717,0.6448525988349915,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
#2_w10_radius_mean_max_mass_max_Z4,RandomForest,5,0.9332957014823781,0.522628336449557,0.5373365928668179,0.4639784848484847,0.6505424068716689,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
#1_w10_radius_mean_max_mass_max_Z,RandomForest,5,0.9332957014823781,0.5221229018109594,0.5371173664186416,0.4641689898989897,0.6506965137330487,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
#3_w10_radius_mean_max_Z4_max_Z,RandomForest,5,0.9340470833293536,0.5195315833077447,0.5338325780984009,0.46566489898989893,0.6530012251227933,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
#4_w10_radius_mean_max_mass,XGBoost,4,0.9402758247796298,0.5293972314396846,0.5336085345788643,0.49298926780681424,0.6531581248886167,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 1.0}"
#3_w10_radius_mean_max_Z4_max_Z,XGBoost,5,0.8747822001445209,0.5034153345593886,0.5284803546515215,0.5020728440621887,0.6567391888291769,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.0, 'reg_lambda': 1.0}"
#5_w10_radius_mean_radius_diff,SVR,4,0.7788133563752181,0.36433996912125255,0.5257458200588657,0.5157986700347074,0.6586407848883269,"{'C': 100, 'epsilon': 0.5, 'kernel': 'rbf'}"
#2_w10_radius_mean_max_mass_max_Z4,XGBoost,5,0.8793856701435858,0.5054930898875278,0.5217527443925702,0.5084182449687611,0.6614077501895357,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.0, 'reg_lambda': 1.0}"
#1_w10_radius_mean_max_mass_max_Z,XGBoost,5,0.8793856701435858,0.5054930898875278,0.5217527443925702,0.5084182449687611,0.6614077501895357,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.0, 'reg_lambda': 1.0}"
#5_w10_radius_mean_radius_diff,XGBoost,4,0.9950699224915599,0.49468976067175674,0.519690212526245,0.5033976660569509,0.6628324388763962,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0.5}"
#0_w10_radius_mean,XGBoost,3,0.9931353108272891,0.5046986855195861,0.517515100954496,0.49575299300569475,0.6643315817064032,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 50, 'reg_alpha': 0, 'reg_lambda': 1.0}"
#0_w10_radius_mean,DecisionTree,3,0.8928558280765964,-0.03244924123594095,0.49453337415336307,0.4926724918412455,0.6799692594749552,"{'max_depth': 5, 'min_samples_split': 5}"
#4_w10_radius_mean_max_mass,SVR,4,0.7078207512739955,0.47803195956904043,0.4589653723536903,0.5358065182633656,0.7034861753758979,"{'C': 10, 'epsilon': 0.5, 'kernel': 'rbf'}"
#3_w10_radius_mean_max_Z4_max_Z,SVR,5,0.6737143253097455,0.46621121509947583,0.43663814401047985,0.5430676061668179,0.7178550427433308,"{'C': 10, 'epsilon': 0.5, 'kernel': 'rbf'}"
#2_w10_radius_mean_max_mass_max_Z4,SVR,5,0.6748169016907581,0.45462719566241894,0.4334501823563509,0.5443265569471011,0.7198832825953587,"{'C': 10, 'epsilon': 0.5, 'kernel': 'rbf'}"
#1_w10_radius_mean_max_mass_max_Z,SVR,5,0.6757613424186218,0.46226838709418205,0.43260906639886076,0.5470089641055236,0.7204174639918954,"{'C': 10, 'epsilon': 0.5, 'kernel': 'rbf'}"
#3_w10_radius_mean_max_Z4_max_Z,DecisionTree,5,0.7701745267038066,0.10307846022434397,0.38006668521426645,0.5551917521190911,0.7530356277683422,"{'max_depth': 4, 'min_samples_split': 2}"
#5_w10_radius_mean_radius_diff,DecisionTree,4,0.9093580664371103,0.11538165595775451,0.3752281640593408,0.524111099417732,0.7559686020826076,"{'max_depth': 5, 'min_samples_split': 5}"
#4_w10_radius_mean_max_mass,DecisionTree,4,0.9097589196398508,-0.04466292599973665,0.3718627330977572,0.5227197654430646,0.758001938943475,"{'max_depth': 5, 'min_samples_split': 5}"
#1_w10_radius_mean_max_mass_max_Z,DecisionTree,5,0.7701745267038066,0.10307846022434397,0.36954813130717357,0.5587357636631027,0.7593972226332468,"{'max_depth': 4, 'min_samples_split': 2}"
#2_w10_radius_mean_max_mass_max_Z4,DecisionTree,5,0.7701745267038066,0.10307846022434397,0.36954813130717357,0.5587357636631027,0.7593972226332468,"{'max_depth': 4, 'min_samples_split': 2}"
#0_w10_radius_mean,KNN,3,1.0,0.19792579624491147,0.24947769100387374,0.581410535951122,0.8285616713531694,"{'n_neighbors': 9, 'weights': 'distance'}"
#5_w10_radius_mean_radius_diff,KNN,4,1.0,0.15991042333242056,0.18480425512109655,0.6124237108952356,0.8635231566887718,"{'n_neighbors': 15, 'weights': 'distance'}"
#1_w10_radius_mean_max_mass_max_Z,KNN,5,0.3298084360071145,0.07772013123224153,0.11950733984369466,0.6618715728715728,0.8974409993704665,"{'n_neighbors': 7, 'weights': 'uniform'}"
#4_w10_radius_mean_max_mass,KNN,4,0.25087253845229696,0.09174224781350493,0.09722463163636352,0.6695684113865932,0.9087258593968383,"{'n_neighbors': 11, 'weights': 'uniform'}"
#3_w10_radius_mean_max_Z4_max_Z,KNN,5,0.2957167769565189,0.08736941323125891,0.08168385416911306,0.6657497194163862,0.9165140908290039,"{'n_neighbors': 9, 'weights': 'uniform'}"
#2_w10_radius_mean_max_mass_max_Z4,KNN,5,0.30597984674109935,0.08676268633341111,0.07483603622155022,0.6679382716049383,0.9199249341112301,"{'n_neighbors': 9, 'weights': 'uniform'}"
#0_w10_radius_mean,Ridge,3,0.09074546791802685,0.03960433485970627,0.021222853968776434,0.725765082126315,0.9462043632721034,{'alpha': 10.0}
#0_w10_radius_mean,LinearReg,3,0.09776073853497902,0.042124767560766996,0.018479136367727023,0.7355204001948198,0.947529639795109,{}
#0_w10_radius_mean,ElasticNet,3,0.09681381515385301,0.04116213248938194,0.01764283435999392,0.7311999968800157,0.9479332237872496,"{'alpha': 0.01, 'l1_ratio': 0.8}"
#0_w10_radius_mean,Lasso,3,0.09649871943448296,0.04049812366762129,0.01695115340454345,0.7309650871708234,0.9482668865359333,{'alpha': 0.01}
#4_w10_radius_mean_max_mass,LinearReg,4,0.10785360769109809,0.022805396624849594,0.0036307481707220646,0.7404391267537132,0.9546698226059126,{}
#4_w10_radius_mean_max_mass,Ridge,4,0.05930742001942613,0.0051118111592362014,0.002965471761576799,0.7338551625932761,0.9549884862581277,{'alpha': 100.0}
#4_w10_radius_mean_max_mass,Lasso,4,0.10634686857404319,0.02146529206360892,0.0015461070555423673,0.7362957950565233,0.9556679987760744,{'alpha': 0.01}
#3_w10_radius_mean_max_Z4_max_Z,Ridge,5,0.06230083556260968,0.004289692335566975,0.0011052973333071092,0.7348254512093066,0.955878935536254,{'alpha': 100.0}
#2_w10_radius_mean_max_mass_max_Z4,Ridge,5,0.062124488981119996,0.003966893355544454,0.0010284460274514462,0.7348836498134415,0.9559157057440384,{'alpha': 100.0}
#1_w10_radius_mean_max_mass_max_Z,Ridge,5,0.06041305962276522,0.0019579223580941107,0.000254962997334518,0.7352974129768524,0.9562857070251098,{'alpha': 100.0}
#5_w10_radius_mean_radius_diff,Ridge,4,0.055244466287705296,0.005436952244816995,-0.0005085443479633245,0.7339930346676454,0.9566507960163202,{'alpha': 100.0}
#5_w10_radius_mean_radius_diff,LinearReg,4,0.10014136703866383,0.02846927021494927,-0.0017713317263430284,0.7433883018734931,0.9572543219008701,{}
#4_w10_radius_mean_max_mass,ElasticNet,4,0.09045963972106419,0.013652585380084514,-0.003538611721459528,0.733936138067929,0.9580983223707582,"{'alpha': 0.1, 'l1_ratio': 0.2}"
#1_w10_radius_mean_max_mass_max_Z,ElasticNet,5,0.09110733761814316,0.013676206443778538,-0.003935408824322639,0.7339984537896228,0.9582877187038389,"{'alpha': 0.1, 'l1_ratio': 0.2}"
#1_w10_radius_mean_max_mass_max_Z,LinearReg,5,0.12005289548035669,0.0012999420574802967,-0.006179441102604821,0.7399583804350187,0.9593581203532979,{}
#2_w10_radius_mean_max_mass_max_Z4,LinearReg,5,0.1212223626235126,0.02213204573703842,-0.007293302730723816,0.7409271703368508,0.959888988198219,{}
#3_w10_radius_mean_max_Z4_max_Z,LinearReg,5,0.11937765660885258,0.019463835373373595,-0.010561426469111401,0.7423113420315819,0.9614448883525268,{}
#2_w10_radius_mean_max_mass_max_Z4,ElasticNet,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,"{'alpha': 1.0, 'l1_ratio': 0.5}"
#1_w10_radius_mean_max_mass_max_Z,Lasso,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
#2_w10_radius_mean_max_mass_max_Z4,Lasso,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
#3_w10_radius_mean_max_Z4_max_Z,ElasticNet,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,"{'alpha': 1.0, 'l1_ratio': 0.5}"
#3_w10_radius_mean_max_Z4_max_Z,Lasso,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
#5_w10_radius_mean_radius_diff,ElasticNet,4,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,"{'alpha': 1.0, 'l1_ratio': 0.5}"
#5_w10_radius_mean_radius_diff,Lasso,4,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
