uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,B_WMp_VBM,B_WMp_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,12.927895065209166,13.586669543328824
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,85.22193767429206,100.15686582748421
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,83.63874360236035,99.61904421194114
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,18.78310997739283,14.492474241052422
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,15.355365489880523,13.034409721767705
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,51.82641041953735,87.99133029700047
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,107.72386966762238,108.12894664661658
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,119.0834989572903,90.11073320445401
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,77.71208840440876,136.035279464047
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,31.834846975193617,15.51015528320551
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,91.6339822850022,20.505162992197572
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,80.31624716385886,15.303600248332206
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,90.31464802289489,100.07378398975052
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,111.72923118587606,82.63777852006822
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,49.33936861315716,58.00229619401778
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,44.42173743080933,62.4073413912273
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,31.81268817536369,113.52275282420898
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,69.93816626921259,56.171994486372895
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,17.77603327413444,15.961197052255464
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,39.072340771009216,111.03518233597106
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,119.46430219386676,156.86937532745873
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,20.495175023260618,23.545946761232443
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,8.623908338459817,9.34662320703426
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,110.96693435129839,152.45366961297438
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,38.18761718051479,17.620114938974076
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,99.95906261711636,100.17031473367777
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,120.99981470306079,118.07746978225335
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,133.41803460436722,137.35785034052657
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,67.85762561878407,14.949931035003248
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,5.4528554357139365,3.7809422323253585
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,103.92671558402895,135.03062195406736
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,106.49865046104402,143.14347005190126
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,8.020443232289832,8.618726578885276
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,46.57232883290124,142.96996534758748
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,94.0426499166405,89.84402786991095
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,93.92282174053817,80.55647017454552
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,42.611276999977534,91.14875476565149
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,86.08757069283936,16.75936298097871
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,72.49640950855168,70.46708987911208
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,57.69402109964075,8.813376320815506
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,14.255671323249318,11.494092655014823
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,7.004788032246662,5.9981777082831575
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,72.79216983116281,98.9002735474576
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,37.26518945285599,18.459101193788065
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,64.07550256148288,65.63578411272542
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,94.8670218726421,77.94292128633074
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,56.327114307172806,100.9646023269831
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,12.969976169803097,9.440639572172763
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,27.782113683865315,13.000097809337717
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,6.841965294323769,5.535759726994817
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,22.646192010457685,11.429277870558936
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,88.37902756186986,81.73138723693911
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,27.11579410489751,15.706402652104137
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,98.42216748647766,149.60845255760972
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,68.48971670212956,15.636243353868839
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,6.692691593137599,4.940893161278502
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,22.420367789510934,15.732716303944622
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,37.53551031159624,86.22890565693531
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,67.45248392762481,129.7088286480629
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,68.98889021643635,17.484447396611863
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,102.06201540772693,88.40855562861293
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,59.934508757703206,10.230476506797427
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,23.204113221103864,12.419108386191944
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,18.29763067515441,34.73707063613877
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,12.438760708228985,8.98533821455863
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,111.88338296792878,150.9166379096913
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,26.219062957263,12.797692950838753
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,37.73368999480964,119.3483890838533
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,7.720703674808055,7.948075209606495
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,92.51684850522378,116.40916635261766
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,63.34244113755318,11.397019982350766
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,16.95663611978102,15.290301458405919
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,16.016853061255397,11.723692159647664
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,69.01252223701823,142.96219457624434
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,122.21222680847784,158.62589795902048
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,8.271962183723737,7.237593014263748
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,71.76558098787419,102.84946621488969
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,83.31541830954208,147.2851339945457
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,82.17886417334589,73.6080199265515
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,70.7109422700712,19.866328433064403
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,118.76643627810506,146.02329352762754
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,38.08162701210692,18.031451319045583
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,59.534100449458165,9.541706156161728
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,11.905026163019325,9.40988953259408
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,36.35083008951067,141.3612568664351
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,63.49581191218568,11.955999732323626
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,109.76748909646224,111.20272448515155
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,76.49240759997627,77.9190729916325
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,81.7128560689981,97.8444547886032
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,4.788493648524472,3.913331566712691
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,75.60282614963789,144.34700166588505
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,88.62012312129104,101.27494102978066
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,113.77192713823337,94.32006137993935
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,100.80280703869855,70.73162240072982
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,29.6813361188598,15.952876149043437
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,93.33860811550343,105.9146074392356
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,111.78015191848571,150.8511648849243
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,54.35799798306206,84.29997197811561
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,71.22292437096428,74.57101473267372
