uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,E_pfrac_VBM,E_pfrac_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,0.224009385476083,0.19442028188538346
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,0.6785544244677716,0.8358953535587912
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,0.8840911585585108,0.9201929583105101
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,0.22900368299032436,0.17766113078223006
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,0.18130424254038618,0.1534142461286447
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,0.7943110472668419,0.8322172034831463
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,0.848391125348033,0.8724804784156919
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,0.9466262309905493,0.9096856795947482
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,0.9198579768745667,0.9316661883508595
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,0.25696647107022974,0.12525950310503062
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,0.7032942480989642,0.15507922849140787
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,0.6431649598769135,0.12401235044377834
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,0.83517716605127,0.8451200771706139
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,0.8163718961430929,0.6004465462984125
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,0.8229245148495816,0.8258043654001617
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,0.81239137651136,0.8750866369111423
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,0.8829775241595053,0.8990904811171163
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,0.9034063151276183,0.7457842356027244
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,0.21107202868778394,0.18809030634768126
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,0.8599441662300487,0.9027750754848929
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,0.9040246564075758,0.919259222337323
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,0.2656621523829215,0.24347653372836892
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,0.21209197845012398,0.22500645648260575
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,0.8941369584845804,0.9109066585302883
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,0.3014358700618786,0.13897000622964714
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,0.8991816494298284,0.9133427007098202
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,0.8986972744902609,0.8492620158711233
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,0.9311785526870192,0.7994363268899549
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,0.7987767433307077,0.15944185782909334
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,0.15428122405671896,0.11084076633416923
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,0.9468453737513559,0.9381116900544377
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,0.9371497425628621,0.9338553284954838
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,0.20726338805496444,0.21468056786782738
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,0.8440266668986302,0.9145043455561068
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,0.9067714092588202,0.9212175840416547
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,0.7732005190484386,0.6736048722630876
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,0.7806803560540508,0.8606994436980863
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,0.6849715466889554,0.13474401937250613
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,0.8748022705579596,0.850388063665775
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,0.7405566209593908,0.11546536297938627
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,0.16877299400649012,0.1398028194256778
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,0.16812670758218465,0.157123881369535
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,0.8378311435722494,0.881194264676874
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,0.28508198681466557,0.14123642572627182
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,0.8096352520917903,0.8238161694562693
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,0.8922939066570377,0.8797309545139917
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,0.8989011752508484,0.774841563510968
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,0.16297538792694538,0.12037197657623792
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,0.2157043936857912,0.10165187414584712
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,0.18540651134918334,0.15187835832826244
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,0.18063093717315118,0.09278224941709082
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,0.9275462117757319,0.909375314729425
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,0.2588201614869204,0.13792464260116344
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,0.9060614974704904,0.9184150831842451
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,0.8422121530840236,0.1814864790882361
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,0.17868054483987267,0.14119076745652373
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,0.293574412341913,0.14980615271423614
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,0.7185895220588732,0.8186754780085288
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,0.9114345157094903,0.9329431043979801
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,0.8295197197316269,0.19036380645799403
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,0.8244461820584097,0.8318788232153959
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,0.7638579163771706,0.13196337355032484
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,0.18956882722248664,0.10193441139181726
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,0.22608183987075953,0.3590873032806925
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,0.15867944792164904,0.11599713363282792
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,0.901195181671016,0.9106283567992831
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,0.21248264128938393,0.10419939260489264
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,0.909282666768928,0.9372956282273631
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,0.20529012181211795,0.207664962128622
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,0.9241098190833938,0.7879851211433209
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,0.8026965681371502,0.1449765152582613
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,0.20507962466220597,0.18340493645210398
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,0.2003083671083162,0.1477262102974496
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,0.8702984144182764,0.9014430142409324
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,0.934812594962855,0.9417767775687267
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,0.19196013068991447,0.17137706135001857
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,0.8340700960545168,0.8638507706444664
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,0.9036235578633021,0.9238137730702655
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,0.8936670822854337,0.8952076420903963
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,0.8326247051860165,0.2009389569933805
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,0.9359477403697092,0.9378360161127248
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,0.2958079752151466,0.1399480237647956
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,0.7409042099373613,0.11728845700179799
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,0.14675621564812047,0.11962596502188046
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,0.8399466536166024,0.9094579449330604
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,0.7652933296496389,0.13706490422052642
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,0.8519428236956959,0.8422307722599669
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,0.8617318463089176,0.772294966413053
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,0.8418724917890628,0.8448925848104843
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,0.13407648218978901,0.1114644811375034
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,0.8708858861095728,0.9086603729103896
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,0.8444249438246081,0.8702194028528185
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,0.9092975411969437,0.7702073113614514
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,0.9154990873691007,0.7472070142516989
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,0.22671026919698667,0.12242854226607965
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,0.882771812071691,0.9164275283284803
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,0.9275593381609087,0.9381112972308486
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,0.8438826392372596,0.9143032462366278
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,0.9271260695172411,0.9136992993085054
