uid,Formula,alpha_R,G_total_VBM,G_total_CBM
001e03f2c095,SSeW,3.288,0.8469055374592828,1.1813246471226917
03bcf7dcdaf2,Sn2Te2,4.804,0.20137693631669534,0.6721170395869194
04fdd7d1ec5c,ClSbTe,1.018,0.009302325581395316,0.21303841676367843
05a06afa3b20,WMo3Se8,1.643,1.8254608294930879,1.8986175115207375
0b7696e1f4c9,CrW3Se8,1.756,0.029713114754098355,0.06096311475409833
0c0fbdaf8f4a,ClSbSe,2.682,0.6385135135135135,0.055180180180180186
0f02957b17cf,ISbTe,3.658,0.15374507227332446,0.1434210526315788
114b3382699c,AsITe,0.579,0.0443349753694581,0.00985221674876848
11db0908d9ef,BiBrSe,0.393,0.0030464584920030474,0.0022865853658536627
159f028a85d0,CrMo3Te8,0.896,2.6441372247823858,4.373271889400922
1667d1443160,TiHf3Te8,1.512,2.8912108174554376,14.21819299323909
18e377cce57f,Ti2Zr2Te8,1.855,6.121226415094336,21.501415094339627
18e62ba75259,BrSbTe,2.631,0.1093935790725329,0.007134363852556494
1a3bdd1b142a,HgTe,0.618,4.788965517241395,2.329655172413786
1a3be826b3e0,AsClSe,3.717,0.015167930660888364,0.04117009750812575
1dcd471c2288,AsBrS,3.109,0.25323275862068967,0.6716899892357391
20f098bd3f31,O2Pb2,1.914,9.405904059040587,0.9741697416974165
211bcb7f05d6,GeSe,0.94,0.06020328381548089,0.002345582486317433
24d6cc0a0fed,MoW3Se8,2.097,1.6688235294117653,2.630370806356681
287dcf4f1a19,Bi2P2S6,1.406,6.563535911602206,0.01420678768745067
2d41b3dd1772,BiITe,2.086,0.317891373801917,0.23003194888178916
2ea941c8bc3c,MoSTe,2.525,2.9083094555873923,1.761604584527221
2f6f133abcc8,MoW3S8,2.241,0.0046457607433217155,0.0034843205574912866
304bc6a92d82,BiBrTe,1.13,0.04577742699289659,0.13022888713496444
323fb700d903,WMo3Te8,1.501,1.3317479191438761,4.3256090314913855
343d2125478e,ISbSe,1.17,0.38780487804878017,0.6544566544566547
3995fa1bee6e,Pb2Te6,3.064,7.95808383233533,0.06686626746506985
3bc08d486d65,PbTe,2.18,0.01642710472279262,0.012320328542094465
3e1923c616ad,TiHf3Se8,1.256,0.9807807807807802,1.0024009603841546
3fb52099b370,MoCr3S8,1.221,0.013840830449826997,0.3252595155709344
40034665f9f1,BiIS,1.254,0.6848998459167956,0.2251349267540479
433f707c632c,BiISe,1.255,0.017107309486780707,0.0
449640ec4d30,Mo2W2S8,1.954,0.4075774971297362,1.8151549942594705
49b7be14f786,BiBrS,1.293,0.9349157733537499,0.3192955589586528
4c49d27e66e5,ISSb,0.907,0.9195678271308532,0.022836538461538478
4cb4ea247ef4,Ga2P2Te6,3.828,6.328375286041185,0.593142857142857
4da5c6be60db,BrSSb,2.39,0.18912797281993243,0.0011325028312570748
4f1ab08988cc,TiZr3Te8,1.679,10.030075187969926,7.214386459802544
4fd8ad708fb0,AsClTe,2.895,0.08710407239819,0.004524886877828053
52a5e2b280d4,ZrTi3Se8,1.091,13.9145775301764,0.6211699164345408
548aa830244c,Cr2W2Se8,1.39,0.3153611393692779,6.4562563580874865
5974b6403c31,Cr2W2S8,1.592,0.24148296593186372,11.95238095238095
5b94060698bc,ISSb,2.844,0.0036719706242350015,0.0036674816625916927
5c3fe56a1a89,MoW3Te8,2.045,2.010928961748634,0.026108075288403167
5d1a32a28ffa,P2Sb2Se6,2.546,0.01886792452830189,0.11084905660377362
5d829e480507,AsISe,1.626,0.524647887323944,0.0082256169212691
5e4ff1f56b4a,PbS,1.241,0.6960784313725499,0.004901960784313731
60065d3bbcf2,Cr2Mo2Se8,1.173,0.12835820895522393,2.251741293532337
62bb754c4cb2,Cr2W2Te8,1.535,4.638743455497383,0.021465968586387434
644f7c1c85c7,CrMo3S8,1.46,0.7321164282190435,1.7719644619940769
6523c349753c,WCr3Te8,0.99,10.593167701863354,0.7224236147074056
671e6de2497a,AsBrTe,0.694,0.011454753722794968,0.2981651376146791
6e2a4c6f4f57,SeTeW,1.394,0.681924882629108,0.010563380281690135
70cbc0e44d36,BiISe,2.089,0.6630007855459545,0.9748822605965449
70e7ab872359,HfZr3Se8,0.95,0.003691739732348864,0.010152284263959397
72b286460831,Cr2Mo2S8,1.344,7.990608007909039,14.996541501976287
75ee10091f43,STeW,3.947,0.2867052023121387,0.22453703703703698
7a8373382b33,S2Sn2,4.469,0.9509151414309478,0.2914238134887597
7fe9c5cb910c,BiClSe,0.746,0.0007575757575757569,0.28009084027252107
81af2831dbb2,Hf2Zr2Se8,0.698,5.281944444444449,0.42037037037036995
82b85dfd7723,P2Sb2Te6,2.596,0.05228758169934639,0.00522875816993464
846b50801a93,Ti2Zr2Se8,1.767,7.571892393320968,0.04406307977736553
899032b4ad0c,MoCr3Te8,1.409,1.7826310380267212,6.0734840698869474
916afba26723,STeW,3.622,8.392652123995411,2.7347876004592417
961c37d6e527,MoCr3Se8,0.977,0.15642178910544732,0.008499999999999997
968a6902b7f5,BiClTe,1.175,0.10919088766692854,1.4634721131186177
988b11badabb,Cr2Mo2Te8,1.105,4.3821721311475414,0.0030737704918032786
99fd027b1d0b,BiClS,0.461,1.2087087087087087,0.0030007501875468925
9c2979187585,WMo3S8,1.816,0.04206935758953953,3.5935190449118823
a0dbdc6630fa,PbSe,1.603,0.12698412698412698,0.005958291956305858
a148361e5e9a,TiZr3Se8,1.321,0.8030513176144247,0.23428835489833627
a1d716aad84d,Mo2W2Se8,1.784,0.312463428905793,0.02808660035108251
a7233837cfe9,CrMo3Se8,1.311,2.5327009485771352,0.10983524712930604
a80866a2c6b4,BiClSe,3.032,0.9432515337423323,0.019938650306748424
a84d988e38ac,BiITe,0.467,0.0063191153238546585,0.007109004739336491
a9f87eba4b96,CrW3S8,1.909,1.6253151790216849,0.43923348461926365
aa9a981d89aa, ,4.457,0.2690763052208839,0.01124497991967871
acdcd16c0d76,BiIS,1.858,0.012490241998438732,0.8073322932917311
b13beafa16aa,AsIS,2.033,0.09195402298850554,0.003452243958573074
b8fb10416122,ZrHf3Se8,0.725,10.157017137563663,0.10092592592592603
badda86cab42,BiClTe,1.458,0.05585725368502724,0.0
c04fc052f2ca,Mo2W2Te8,1.645,2.3375527426160336,3.499698613622663
c55716558616,HfTi3Se8,1.191,0.09873570138470793,3.0938628158844783
c798e725e2fb,WCr3Se8,1.16,0.027582748244734202,0.4528585757271817
c96ef4fc869c,BiClS,1.181,0.004545454545454557,0.17803030303030287
cce78d90e899,Hf2Ti2Se8,1.409,4.179626280892109,4.918625678119344
cf7927ab6730,Bi2P2Te6,1.814,0.13007456503728249,0.002483443708609271
d59c96fdfda1,SeSn,0.873,0.010407632263660021,0.0008680555555555558
da5fd2bb47af,ClSbTe,2.891,0.36713286713286764,0.41306884480746847
dc4259e69783,WCr3S8,1.317,0.11320754716981143,0.30899155489319413
de5756e4fbfa,BiBrSe,2.784,2.207269914926524,0.9829984544049463
df0019ec24b5,ISbSe,2.431,0.3135068153655523,0.6893564356435645
e688959ea45b,SnTe,0.806,0.0125335720680394,0.09668755595344682
eadd37f03ca5,GeTe,0.952,0.13172690763052225,0.020900321543408353
eef072f845ce,CrW3Te8,1.592,0.2991587802313354,2.751840168243954
f1e78a09001d,BrSbTe,1.315,0.018957345971563927,0.13048635824436564
f4f45fcade85,BiBrTe,0.498,0.0015612802498048415,0.2576112412177984
f705a30af945,ClSbSe,1.483,0.20922384701912214,0.002247191011235956
fba4cc0df459,AsClTe,0.634,0.4191750278706795,0.00222965440356745
