Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE,anticrossing
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,C,X->G,0.028,0.033,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,C,X->S,0.002,0.091,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,C,G->Y,0.009,0.0,False
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,C,M->G,0.043,0.0,False
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,C,M->K,0.233,0.813,True
Ir2Cl6,be7870547213,P321 (150),0.555,0.263,V,M->G,0.002,0.0,False
Ir2Cl6,be7870547213,P321 (150),0.555,0.263,C,M->G,0.001,0.071,False
S2Si2,0726c763a59a,Pmn2_1 (31),0.446,1.433,C,S->Y,0.006,0.082,False
S2Si2,0726c763a59a,Pmn2_1 (31),0.446,1.433,C,Y->G,0.012,0.0,False
S2Si2,0726c763a59a,Pmn2_1 (31),0.446,1.433,C,S->G,0.005,0.879,False
BaCl2,ef1fab58e11f,P-4m2 (115),0.3,5.195,C,X->M,0.031,0.724,False
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,G->M,0.102,1.698,False
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,M->G,0.102,1.698,False
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,G->K,0.071,2.315,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,V,X->G,0.088,0.171,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,V,X->M,0.015,0.171,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,C,G->M,0.344,0.876,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,C,G->X,0.096,0.22,False
AsClS,0fd6ab210774,P3m1 (156),0.224,1.732,C,M->K,0.05,0.414,False
W2Br6,14e114b103e1,P-62m (189),0.271,0.222,C,M->G,0.077,0.375,False
Ir2S2,dd6289af8e01,P-6m2 (187),0.305,0.135,C,G->K,0.029,1.386,False
CaI2,793f311ee701,P-4m2 (115),0.174,4.022,C,G->M,0.012,0.388,False
MoCr3Te8,899032b4ad0c,P1 (1),0.087,0.481,V,S->G,0.097,0.137,False
BiIS,40034665f9f1,P3m1 (156),0.14,0.848,C,M->K,0.333,0.539,False
GaP,d467820f3f04,P3m1 (156),0.447,1.555,C,M->G,0.01,1.217,False
GaP,d467820f3f04,P3m1 (156),0.447,1.555,C,M->K,0.01,0.625,False
Al2S2,f9df9f4a5c34,P-6m2 (187),0.005,2.099,V,M->K,0.012,0.649,False
HfSSe,63618e5bf062,P3m1 (156),0.0,0.705,C,G->M,0.019,0.794,False
HfSSe,63618e5bf062,P3m1 (156),0.0,0.705,C,G->K,0.065,0.959,False
ZrBr2,7897c7cc2491,P-6m2 (187),0.0,0.827,C,M->K,0.01,1.413,False
AsBrSe,989f469f06bd,P3m1 (156),0.0,1.212,C,M->G,0.005,0.982,False
HgSe,619ed885f677,P3m1 (156),0.157,0.069,V,G->M,0.01,0.007,False
HgSe,619ed885f677,P3m1 (156),0.157,0.069,V,M->G,0.048,0.899,False
HgSe,619ed885f677,P3m1 (156),0.157,0.069,V,G->K,0.023,0.0,False
BiITe,a84d988e38ac,P3m1 (156),0.11,0.691,V,G->K,0.029,0.165,False
AsBrTe,64921449e408,P3m1 (156),0.0,1.253,V,G->M,0.092,0.023,False
AsBrTe,64921449e408,P3m1 (156),0.0,1.253,V,G->K,0.105,0.0,False
AsBrTe,64921449e408,P3m1 (156),0.0,1.253,C,G->M,0.02,0.838,False
SSeZr,1a9901838600,P3m1 (156),0.0,0.616,C,G->M,0.005,0.609,False
SSeZr,1a9901838600,P3m1 (156),0.0,0.616,C,G->K,0.024,0.831,False
GeCl2,a7216f084785,P-6m2 (187),0.136,2.955,C,M->K,0.045,0.089,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,V,Y->S,0.03,0.155,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,V,Y->G,0.091,0.138,False
SSeZr,2be14f373da0,P3m1 (156),0.163,0.831,V,G->K,0.105,0.0,False
SSeZr,2be14f373da0,P3m1 (156),0.163,0.831,C,G->M,0.003,0.0,False
SSeZr,2be14f373da0,P3m1 (156),0.163,0.831,C,G->K,0.063,0.086,False
BrSbSe,89b15ddef41d,P3m1 (156),0.0,1.072,V,M->G,0.036,0.035,False
BrSbSe,89b15ddef41d,P3m1 (156),0.0,1.072,V,M->K,0.044,0.383,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,V,G->M,0.047,0.002,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,V,M->G,0.047,0.002,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,V,G->K,0.053,0.0,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,C,G->M,0.293,0.542,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,C,G->K,0.346,0.887,False
GeS2,69b36b84eb8c,P-4m2 (115),0.049,1.36,V,G->X,0.003,0.382,False
GeS2,69b36b84eb8c,P-4m2 (115),0.049,1.36,C,G->M,0.038,1.504,False
GeS2,69b36b84eb8c,P-4m2 (115),0.049,1.36,C,X->M,0.028,0.97,False
HfSeTe,305c779b8752,P3m1 (156),0.149,0.16,C,G->M,0.014,0.0,False
HfSeTe,305c779b8752,P3m1 (156),0.149,0.16,C,G->K,0.212,0.298,False
SnCl2,95805103ce95,P-4m2 (115),0.146,1.464,V,G->M,0.002,0.0,False
SnCl2,95805103ce95,P-4m2 (115),0.146,1.464,V,G->X,0.02,1.116,False
SnCl2,95805103ce95,P-4m2 (115),0.146,1.464,V,X->M,0.002,0.0,False
Pb2Te2,fdc4a7cc1d0d,Pmn2_1 (31),0.075,0.701,V,S->Y,0.003,0.213,False
Pb2Te2,fdc4a7cc1d0d,Pmn2_1 (31),0.075,0.701,V,Y->S,0.003,0.213,False
HfTi3Se8,c55716558616,P1 (1),0.137,0.589,V,S->X,0.012,0.268,False
HfTi3Se8,c55716558616,P1 (1),0.137,0.589,C,X->G,0.015,0.025,False
HfTi3Se8,c55716558616,P1 (1),0.137,0.589,C,Y->G,0.002,0.064,False
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,V,G->M,0.018,0.969,False
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,V,M->G,0.018,0.969,False
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,V,G->K,0.011,1.117,False
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,C,G->M,0.129,0.855,False
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,C,G->K,0.223,1.151,False
Mo2W2Te8,c04fc052f2ca,Pm (6),0.011,0.879,V,Y->S,0.022,0.477,False
Mo2W2Te8,c04fc052f2ca,Pm (6),0.011,0.879,V,S->G,0.217,0.224,False
Mo2W2Te8,c04fc052f2ca,Pm (6),0.011,0.879,C,X->G,0.01,0.0,False
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,V,G->K,0.037,0.206,True
GeO,a42f736f1682,P3m1 (156),0.311,2.093,V,G->M,0.006,0.437,False
GeO,a42f736f1682,P3m1 (156),0.311,2.093,C,G->M,0.002,2.191,False
GeO,a42f736f1682,P3m1 (156),0.311,2.093,C,M->G,0.002,2.191,False
GeO,a42f736f1682,P3m1 (156),0.311,2.093,C,M->K,0.057,0.759,False
GeO,a42f736f1682,P3m1 (156),0.311,2.093,C,G->K,0.071,2.677,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,V,S->X,0.009,0.0,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,V,S->G,0.063,0.024,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,C,Y->G,0.026,0.759,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,C,G->Y,0.04,0.781,False
Mo2Cl6,61d74efeaeeb,P-62m (189),0.139,0.526,C,M->G,0.03,0.372,False
BrSSb,4ae37f15e1fe,P3m1 (156),0.157,1.437,C,M->G,0.042,0.533,False
BrSSb,4ae37f15e1fe,P3m1 (156),0.157,1.437,C,M->K,0.1,0.357,False
ZrTe2,599f0c912458,P-4m2 (115),0.373,0.816,V,G->M,0.112,0.858,False
ZrTe2,599f0c912458,P-4m2 (115),0.373,0.816,V,G->X,0.065,0.882,False
ZrTe2,599f0c912458,P-4m2 (115),0.373,0.816,V,X->M,0.065,0.882,False
ZrTe2,599f0c912458,P-4m2 (115),0.373,0.816,C,M->G,0.034,0.0,False
ZrTe2,599f0c912458,P-4m2 (115),0.373,0.816,C,X->M,0.038,0.044,False
Cr2W2S8,5974b6403c31,Pma2 (28),0.014,0.967,C,X->G,0.009,0.0,True
Cr2W2S8,5974b6403c31,Pma2 (28),0.014,0.967,C,Y->S,0.025,0.199,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,V,X->S,0.01,0.214,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,V,Y->G,0.003,0.09,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,V,G->Y,0.003,0.09,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,C,X->G,0.018,0.039,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,C,X->S,0.004,0.137,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,C,S->Y,0.03,0.041,False
HfSe2,08401460f377,P-4m2 (115),0.337,1.676,V,G->M,0.081,0.718,False
HfSe2,08401460f377,P-4m2 (115),0.337,1.676,V,G->X,0.064,0.74,False
HfSe2,08401460f377,P-4m2 (115),0.337,1.676,V,X->M,0.064,0.74,False
HfSe2,08401460f377,P-4m2 (115),0.337,1.676,C,M->G,0.116,0.0,False
HfSe2,08401460f377,P-4m2 (115),0.337,1.676,C,M->X,0.148,0.012,False
Rh2Se2,1a46a7cf8fab,P-6m2 (187),0.164,0.063,V,M->K,0.105,0.653,False
AsClSe,df329350eef2,P3m1 (156),0.179,1.71,C,M->K,0.075,0.402,False
GeSe,211bcb7f05d6,P3m1 (156),0.04,2.215,V,G->M,0.003,0.111,False
GeSe,211bcb7f05d6,P3m1 (156),0.04,2.215,V,M->G,0.072,0.054,False
GeSe,211bcb7f05d6,P3m1 (156),0.04,2.215,C,G->M,0.094,0.767,False
GeSe,211bcb7f05d6,P3m1 (156),0.04,2.215,C,M->K,0.104,0.611,False
GeSe,211bcb7f05d6,P3m1 (156),0.04,2.215,C,G->K,0.162,0.908,False
TiZr3S8,ec37c6657ea3,P1 (1),0.184,0.997,V,Y->S,0.016,0.039,False
TiZr3S8,ec37c6657ea3,P1 (1),0.184,0.997,V,Y->G,0.005,0.107,False
TiZr3S8,ec37c6657ea3,P1 (1),0.184,0.997,C,X->G,0.006,0.052,False
TiZr3S8,ec37c6657ea3,P1 (1),0.184,0.997,C,Y->G,0.003,0.0,False
Al2P2Se6,90d84f697622,P1 (1),0.067,0.607,V,G->Y,0.056,0.0,False
Al2P2Se6,90d84f697622,P1 (1),0.067,0.607,V,G->X,0.056,0.001,False
Al2P2Se6,90d84f697622,P1 (1),0.067,0.607,C,G->Y,0.064,0.588,False
Al2P2Se6,90d84f697622,P1 (1),0.067,0.607,C,G->X,0.063,0.589,False
Hf2Zr2Se8,81af2831dbb2,P1 (1),0.158,0.845,C,X->G,0.036,0.025,False
MoW3Te8,5c3fe56a1a89,Pm (6),0.018,0.825,V,Y->S,0.014,0.546,False
MoW3Te8,5c3fe56a1a89,Pm (6),0.018,0.825,V,S->G,0.239,0.254,False
Mo2W2S8,449640ec4d30,Pc (7),0.0,1.553,C,X->G,0.013,0.0,True
HfTi3S8,fde2d81d10df,P1 (1),0.169,0.848,V,S->X,0.009,0.154,False
HfTi3S8,fde2d81d10df,P1 (1),0.169,0.848,V,Y->S,0.02,0.014,False
HfTi3S8,fde2d81d10df,P1 (1),0.169,0.848,C,X->G,0.009,0.036,False
HgCl2,ce3ed4728e8f,P-4m2 (115),0.033,2.404,C,X->M,0.001,0.0,False
GeBr2,204ef2affa10,P-4m2 (115),0.136,1.312,C,G->M,0.007,1.599,False
Ga2Cl6,c306553fa81a,P-62m (189),0.174,2.553,V,G->M,0.02,0.0,False
BrClHf,72257f9ad66d,P3m1 (156),0.016,0.819,V,G->M,0.01,0.802,False
BrClHf,72257f9ad66d,P3m1 (156),0.016,0.819,V,G->K,0.018,0.793,False
BrClHf,72257f9ad66d,P3m1 (156),0.016,0.819,C,M->K,0.119,1.4,False
AsClS,afd0d75a82a2,P3m1 (156),0.056,1.532,V,G->M,0.005,0.044,False
AsClS,afd0d75a82a2,P3m1 (156),0.056,1.532,V,M->K,0.018,0.465,False
AsClS,afd0d75a82a2,P3m1 (156),0.056,1.532,V,G->K,0.005,0.0,False
AsClS,afd0d75a82a2,P3m1 (156),0.056,1.532,C,G->M,0.016,0.935,False
AsClS,afd0d75a82a2,P3m1 (156),0.056,1.532,C,M->K,0.096,1.787,False
TiO2,1cfb690281c9,P-6m2 (187),0.587,1.136,C,M->K,0.031,0.121,False
P2Sc2S6,bc8b8c21ad4f,P3 (143),0.08,0.829,V,G->Y,0.007,0.0,False
P2Sc2S6,bc8b8c21ad4f,P3 (143),0.08,0.829,V,G->X,0.007,0.0,False
CrMo3S8,644f7c1c85c7,Pm (6),0.011,1.206,V,S->Y,0.075,0.557,False
CrMo3S8,644f7c1c85c7,Pm (6),0.011,1.206,C,G->X,0.011,0.0,False
CrMo3S8,644f7c1c85c7,Pm (6),0.011,1.206,C,G->S,0.001,0.216,False
CrMo3S8,644f7c1c85c7,Pm (6),0.011,1.206,C,S->G,0.011,0.278,False
OPb,2a393480e273,P3m1 (156),0.315,1.806,V,G->M,0.017,0.032,False
OPb,2a393480e273,P3m1 (156),0.315,1.806,V,G->K,0.019,0.0,False
InSb,466fcf7fad66,P3m1 (156),0.379,0.477,V,G->M,0.031,0.991,False
InSb,466fcf7fad66,P3m1 (156),0.379,0.477,V,M->G,0.031,0.991,False
InSb,466fcf7fad66,P3m1 (156),0.379,0.477,V,G->K,0.091,1.082,False
InSb,466fcf7fad66,P3m1 (156),0.379,0.477,C,G->M,0.187,1.174,False
InSb,466fcf7fad66,P3m1 (156),0.379,0.477,C,G->K,0.283,1.414,False
AsClTe,4fd8ad708fb0,P3m1 (156),0.018,1.496,C,M->K,0.097,1.188,False
AsClTe,4fd8ad708fb0,P3m1 (156),0.018,1.496,C,G->K,0.038,1.159,False
CrW3Te8,eef072f845ce,P1 (1),0.056,0.563,V,S->G,0.204,0.223,False
MoCr3S8,3fb52099b370,P1 (1),0.011,0.922,C,X->G,0.006,0.0,False
MoCr3S8,3fb52099b370,P1 (1),0.011,0.922,C,S->G,0.007,0.398,False
BiBrS,3b305c3e2c18,P3m1 (156),0.116,1.594,C,M->K,0.321,0.478,False
CrW3Se8,0b7696e1f4c9,P1 (1),0.01,0.902,V,S->G,0.191,0.256,False
PdSe2,0ae696751911,P-6m2 (187),0.268,0.231,V,G->K,0.344,1.632,False
TiHf3Te8,1667d1443160,P1 (1),0.132,0.098,V,G->X,0.003,0.513,False
TiHf3Te8,1667d1443160,P1 (1),0.132,0.098,V,S->X,0.004,0.475,False
TiHf3Te8,1667d1443160,P1 (1),0.132,0.098,V,G->S,0.017,0.098,False
Ti2Zr2Te8,18e377cce57f,P1 (1),0.118,0.143,V,G->S,0.022,0.143,False
Ti2Zr2Te8,18e377cce57f,P1 (1),0.118,0.143,C,X->G,0.05,0.25,False
N2O2Zr3,c317fbd68215,P-6m2 (187),0.094,0.404,C,G->K,0.019,0.385,False
PbS,5e4ff1f56b4a,P3m1 (156),0.231,1.979,C,G->M,0.295,0.542,False
PbS,5e4ff1f56b4a,P3m1 (156),0.231,1.979,C,M->K,0.268,0.681,False
PbS,5e4ff1f56b4a,P3m1 (156),0.231,1.979,C,G->K,0.347,0.801,False
Ge2S2,ecbb7c185669,Pmn2_1 (31),0.031,1.714,C,Y->G,0.056,0.0,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,V,G->M,0.017,1.008,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,V,M->G,0.017,1.008,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,V,G->K,0.01,1.098,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,C,G->M,0.01,1.378,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,C,M->G,0.01,1.378,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,C,M->K,0.017,1.1,False
InP,c5672c6c1c78,P3m1 (156),0.432,1.072,C,G->K,0.029,1.724,False
SeTeZr,dd69b684c867,P3m1 (156),0.115,0.275,C,G->M,0.009,0.0,False
SeTeZr,dd69b684c867,P3m1 (156),0.115,0.275,C,M->G,0.009,0.0,False
SeTeZr,dd69b684c867,P3m1 (156),0.115,0.275,C,G->K,0.094,0.198,False
Hf2Ti2S8,c8cfffe63bfa,P1 (1),0.192,0.917,V,X->S,0.006,0.19,False
Hf2Ti2S8,c8cfffe63bfa,P1 (1),0.192,0.917,V,Y->S,0.027,0.0,False
Hf2Ti2S8,c8cfffe63bfa,P1 (1),0.192,0.917,C,X->G,0.013,0.026,False
Hf2Ti2S8,c8cfffe63bfa,P1 (1),0.192,0.917,C,X->S,0.001,0.09,False
PbTe,3bc08d486d65,P3m1 (156),0.198,1.151,C,G->M,0.349,0.383,False
PbTe,3bc08d486d65,P3m1 (156),0.198,1.151,C,G->K,0.398,0.869,False
ZrTi3S8,e6e376c80c43,P1 (1),0.163,0.833,V,S->X,0.01,0.147,False
ZrTi3S8,e6e376c80c43,P1 (1),0.163,0.833,V,Y->S,0.016,0.029,False
ZrTi3S8,e6e376c80c43,P1 (1),0.163,0.833,C,X->G,0.002,0.036,False
CdI2,d63ad801fdb5,P-4m2 (115),0.0,2.381,V,X->M,0.018,0.0,False
AsBrS,d9f4d4011670,P3m1 (156),0.201,1.425,C,M->G,0.04,0.481,False
AsBrS,d9f4d4011670,P3m1 (156),0.201,1.425,C,M->K,0.018,0.52,False
TiZr3Te8,4f1ab08988cc,P1 (1),0.115,0.21,C,X->G,0.026,0.247,False
MoSTe,e4bb8738150a,P3m1 (156),0.065,1.027,V,M->G,0.006,0.917,False
TiHf3Se8,3e1923c616ad,P1 (1),0.166,0.722,V,G->X,0.021,0.037,False
TiHf3Se8,3e1923c616ad,P1 (1),0.166,0.722,V,X->S,0.018,0.228,False
TiHf3Se8,3e1923c616ad,P1 (1),0.166,0.722,C,Y->G,0.006,0.062,False
CrO2,2433700165bb,P-6m2 (187),0.168,0.422,V,M->K,0.049,1.259,False
Cr2Mo2Se8,60065d3bbcf2,P1 (1),0.016,0.837,V,S->G,0.1,0.158,False
Cr2Mo2Se8,60065d3bbcf2,P1 (1),0.016,0.837,C,X->G,0.012,0.0,False
Cr2Mo2Se8,60065d3bbcf2,P1 (1),0.016,0.837,C,S->G,0.002,0.29,False
CrMo3Se8,a7233837cfe9,P1 (1),0.01,0.971,V,S->G,0.115,0.185,False
CrMo3Se8,a7233837cfe9,P1 (1),0.01,0.971,C,G->X,0.018,0.0,False
CrMo3Se8,a7233837cfe9,P1 (1),0.01,0.971,C,S->G,0.004,0.253,False
Ti2Zr2S8,a99139546333,P1 (1),0.18,0.842,V,S->X,0.005,0.205,False
Ti2Zr2S8,a99139546333,P1 (1),0.18,0.842,V,S->Y,0.021,0.0,False
Ti2Zr2S8,a99139546333,P1 (1),0.18,0.842,V,Y->S,0.021,0.0,False
ZrHf3Se8,b8fb10416122,P1 (1),0.165,0.843,V,Y->G,0.002,0.083,False
ZrHf3Se8,b8fb10416122,P1 (1),0.165,0.843,C,X->G,0.044,0.021,False
ZrHf3Se8,b8fb10416122,P1 (1),0.165,0.843,C,X->S,0.002,0.167,False
ZrHf3Se8,b8fb10416122,P1 (1),0.165,0.843,C,S->Y,0.036,0.004,False
ClSSb,0495f35048b5,P3m1 (156),0.179,1.675,V,G->M,0.01,0.099,False
ClSSb,0495f35048b5,P3m1 (156),0.179,1.675,V,M->G,0.01,0.099,False
ClSSb,0495f35048b5,P3m1 (156),0.179,1.675,V,G->K,0.034,0.0,False
ClSSb,0495f35048b5,P3m1 (156),0.179,1.675,C,M->K,0.135,0.292,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,V,G->X,0.021,0.029,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,V,X->S,0.002,0.236,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,V,G->S,0.03,0.024,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,C,X->G,0.021,0.053,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,C,X->S,0.022,0.0,False
SnS2,08a9307b286e,P-4m2 (115),0.082,1.451,V,G->X,0.004,0.258,False
SnS2,08a9307b286e,P-4m2 (115),0.082,1.451,C,M->G,0.034,1.351,False
SnS2,08a9307b286e,P-4m2 (115),0.082,1.451,C,G->M,0.034,1.351,False
SnS2,08a9307b286e,P-4m2 (115),0.082,1.451,C,G->X,0.007,0.427,False
SnS2,08a9307b286e,P-4m2 (115),0.082,1.451,C,X->G,0.007,0.427,False
SnS2,08a9307b286e,P-4m2 (115),0.082,1.451,C,M->X,0.027,1.123,False
SnSe2,bfa429d647f9,P-4m2 (115),0.056,0.854,V,X->M,0.006,1.212,False
SnSe2,bfa429d647f9,P-4m2 (115),0.056,0.854,C,G->M,0.157,1.191,False
SnSe2,bfa429d647f9,P-4m2 (115),0.056,0.854,C,G->X,0.024,0.358,False
PbS2,9842835dff03,P-4m2 (115),0.418,0.671,V,M->G,0.002,0.169,False
PbS2,9842835dff03,P-4m2 (115),0.418,0.671,V,M->X,0.002,0.0,False
PbS2,9842835dff03,P-4m2 (115),0.418,0.671,C,X->M,0.033,0.896,False
WMo3Se8,05a06afa3b20,Pm (6),0.0,1.32,V,S->G,0.195,0.232,False
WMo3Se8,05a06afa3b20,Pm (6),0.0,1.32,C,G->X,0.01,0.0,False
WMo3Se8,05a06afa3b20,Pm (6),0.0,1.32,C,X->G,0.01,0.0,False
WMo3Se8,05a06afa3b20,Pm (6),0.0,1.32,C,Y->S,0.025,0.124,False
O2W2,42fa50003592,P-6m2 (187),0.503,0.04,V,G->K,0.163,0.0,False
BrSSb,4da5c6be60db,P3m1 (156),0.028,1.233,V,M->G,0.061,0.056,False
Cr2W2Se8,548aa830244c,P1 (1),0.015,0.778,V,S->G,0.153,0.195,False
Cr2W2Se8,548aa830244c,P1 (1),0.015,0.778,C,Y->S,0.009,0.187,False
ZnCl2,1b7175e04416,P-4m2 (115),0.0,4.226,V,G->X,0.003,0.936,False
ZnCl2,1b7175e04416,P-4m2 (115),0.0,4.226,C,G->M,0.016,2.096,False
ZnCl2,1b7175e04416,P-4m2 (115),0.0,4.226,C,G->X,0.011,2.084,False
ZnCl2,1b7175e04416,P-4m2 (115),0.0,4.226,C,X->M,0.011,2.084,False
TiZr3Se8,a148361e5e9a,P1 (1),0.144,0.701,V,Y->G,0.002,0.112,False
TiZr3Se8,a148361e5e9a,P1 (1),0.144,0.701,C,X->G,0.012,0.043,False
Al2Se2,129a514b51ad,P-6m2 (187),0.0,1.997,C,M->K,0.034,0.328,False
GeS,227b12019ade,P3m1 (156),0.053,2.467,C,G->M,0.057,1.039,False
GeS,227b12019ade,P3m1 (156),0.053,2.467,C,M->K,0.036,0.509,False
GeS,227b12019ade,P3m1 (156),0.053,2.467,C,G->K,0.078,1.141,False
BiClS,c96ef4fc869c,P3m1 (156),0.0,1.334,V,G->M,0.01,0.031,True
BiClS,c96ef4fc869c,P3m1 (156),0.0,1.334,V,G->K,0.018,0.0,False
Ga2P2Te6,4cb4ea247ef4,P1 (1),0.173,0.314,V,G->Y,0.022,0.406,False
Ga2P2Te6,4cb4ea247ef4,P1 (1),0.173,0.314,V,G->X,0.017,0.405,False
AsITe,b6d803aafe3a,P3m1 (156),0.0,1.009,V,G->M,0.001,0.335,False
AsITe,b6d803aafe3a,P3m1 (156),0.0,1.009,V,M->K,0.059,0.779,False
AsITe,b6d803aafe3a,P3m1 (156),0.0,1.009,V,G->K,0.051,0.311,False
AsClSe,1a3be826b3e0,P3m1 (156),0.013,1.364,C,M->K,0.073,1.703,False
HfTe2,1e2c6946ca41,P-4m2 (115),0.371,1.01,V,G->M,0.147,0.78,False
HfTe2,1e2c6946ca41,P-4m2 (115),0.371,1.01,V,G->X,0.119,0.798,False
HfTe2,1e2c6946ca41,P-4m2 (115),0.371,1.01,V,X->M,0.119,0.798,False
